summary	Translation	Positive	Negative	EmotionRationale
A six four magnitude earthquake followed by strong aftershocks struck Puerto Rico early on Tuesday killing at least one person knocking out power across much of the island and causing significant damage authorities and media reported	A six four magnitude earthquake followed by strong aftershocks struck Puerto Rico early on Tuesday killing at least one person knocking out power across much of the island and causing significant damage authorities and media reported	1	-2	 A[0] six[0] four[0] magnitude[0] earthquake[0] followed[0] by[0] strong[0] aftershocks[0] struck[-1] Puerto[0] Rico[0] early[0] on[0] Tuesday[0] killing[-1] at[0] least[0] one[0] person[0] knocking[0] out[0] power[0] across[0] much[0] of[0] the[0] island[0] and[0] causing[0] significant[0] damage[0] authorities[0] and[0] media[0] reported[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
A nine five year old woman has taken her first ever flight because she wanted to visit Lake Geneva Gladys Blackburn from Milton Keynes flew from Luton airport to Switzerland for the two day trip	A nine five year old woman has taken her first ever flight because she wanted to visit Lake Geneva Gladys Blackburn from Milton Keynes flew from Luton airport to Switzerland for the two day trip	1	-1	 A[0] nine[0] five[0] year[0] old[0] woman[0] has[0] taken[0] her[0] first[0] ever[0] flight[0] because[0] she[0] wanted[0] to[0] visit[0] Lake[0] Geneva[0] Gladys[0] Blackburn[0] from[0] Milton[0] Keynes[0] flew[0] from[0] Luton[0] airport[0] to[0] Switzerland[0] for[0] the[0] two[0] day[0] trip[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
A tremendous awakening is happening in the country as more black Americans are abandoning the Democrat Party and turning to support Trump	A tremendous awakening is happening in the country as more black Americans are abandoning the Democrat Party and turning to support Trump	2	-2	 A[0] tremendous[0] awakening[0] is[0] happening[0] in[0] the[0] country[0] as[0] more[0] black[0] Americans[0] are[0] abandoning[-1] the[0] Democrat[0] Party[0] and[0] turning[0] to[0] support[1] Trump[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
A battle over gun control in Virginia is heating up as the legislature prepares to vote on new restrictions reaction and analysis from attorney and gun rights activist Colion Noir	A battle over gun control in Virginia is heating up as the legislature prepares to vote on new restrictions reaction and analysis from attorney and gun rights activist Colion Noir	1	-2	 A[0] battle[-1] over[0] gun[-1] control[0] in[0] Virginia[0] is[0] heating[0] up[0] as[0] the[0] legislature[0] prepares[0] to[0] vote[0] on[0] new[0] restrictions[-1] reaction[0] and[0] analysis[0] from[0] attorney[0] and[0] gun[-1] rights[0] activist[0] Colion[0] Noir[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
A body was discovered after an Air France flight had arrived in Paris from Ivory Coast	A body was discovered after an Air France flight had arrived in Paris from Ivory Coast	1	-1	 A[0] body[0] was[0] discovered[0] after[0] an[0] Air[0] France[0] flight[0] had[0] arrived[0] in[0] Paris[0] from[0] Ivory[0] Coast[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
A Boeing seven three seven plane carrying one seven six passengers and crew crashed shortly after takeoff from Tehran Iran Follow here for the latest	A Boeing seven three seven plane carrying one seven six passengers and crew crashed shortly after takeoff from Tehran Iran Follow here for the latest	1	-1	 A[0] Boeing[0] seven[0] three[0] seven[0] plane[0] carrying[0] one[0] seven[0] six[0] passengers[0] and[0] crew[0] crashed[0] shortly[0] after[0] takeoff[0] from[0] Tehran[0] Iran[0] Follow[0] here[0] for[0] the[0] latest[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
A Boeing seven three seven plane carrying one eight zero passengers and crew crashed shortly after takeoff from Tehran Iran Follow here for the latest	A Boeing seven three seven plane carrying one eight zero passengers and crew crashed shortly after takeoff from Tehran Iran Follow here for the latest	1	-1	 A[0] Boeing[0] seven[0] three[0] seven[0] plane[0] carrying[0] one[0] eight[0] zero[0] passengers[0] and[0] crew[0] crashed[0] shortly[0] after[0] takeoff[0] from[0] Tehran[0] Iran[0] Follow[0] here[0] for[0] the[0] latest[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
A bombshell book will reveal how five members of Joe Bidens family the Biden five siphone d tens of millions of dollars in taxpayer cash and guaranteed loans	A bombshell book will reveal how five members of Joe Bidens family the Biden five siphone d tens of millions of dollars in taxpayer cash and guaranteed loans	1	-2	 A[0] bombshell[-1] book[0] will[0] reveal[0] how[0] five[0] members[0] of[0] Joe[0] Bidens[0] family[0] the[0] Biden[0] five[0] siphone[0] d[0] tens[0] of[0] millions[0] of[0] dollars[0] in[0] taxpayer[-1] cash[0] and[0] guaranteed[0] loans[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
A British socialite stole nearly three zero zero zero zero zero from her dementia suffering grandmother to fund her lavish lifestyle including designer clothes and stays in Beverly Hills hotels according to local reports	A British socialite stole nearly three zero zero zero zero zero from her dementia suffering grandmother to fund her lavish lifestyle including designer clothes and stays in Beverly Hills hotels according to local reports	1	-4	 A[0] British[0] socialite[0] stole[-1] nearly[0] three[0] zero[0] zero[0] zero[0] zero[0] zero[0] from[0] her[0] dementia[0] suffering[-3] grandmother[0] to[0] fund[0] her[0] lavish[0] lifestyle[0] including[0] designer[0] clothes[0] and[0] stays[0] in[0] Beverly[0] Hills[0] hotels[0] according[0] to[0] local[0] reports[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
A British teenager will appeal against her conviction in Cyprus over a withdrawn allegation of gang rape her lawyers said on Tuesday as the British government said it had raised numerous concerns about her treatment with Cypriot authorities	A British teenager will appeal against her conviction in Cyprus over a withdrawn allegation of gang rape her lawyers said on Tuesday as the British government said it had raised numerous concerns about her treatment with Cypriot authorities	1	-4	 A[0] British[0] teenager[0] will[0] appeal[0] against[-1] her[0] conviction[-1] in[0] Cyprus[0] over[0] a[0] withdrawn[0] allegation[-1] of[0] gang[0] rape[-3] her[0] lawyers[0] said[0] on[0] Tuesday[0] as[0] the[0] British[0] government[0] said[0] it[0] had[0] raised[0] numerous[0] concerns[-1] about[0] her[0] treatment[0] with[0] Cypriot[0] authorities[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
A British tourist has revealed how he narrowly escaped being slaughtered by one of Australias most terrifying serial killers Ivan Milat	A British tourist has revealed how he narrowly escaped being slaughtered by one of Australias most terrifying serial killers Ivan Milat	1	-4	 A[0] British[0] tourist[0] has[0] revealed[0] how[0] he[0] narrowly[0] escaped[0] being[0] slaughtered[-1] by[0] one[0] of[0] Australias[0] most[0] terrifying[-3] serial[0] killers[0] Ivan[0] Milat[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
A British woman is given a four month suspended sentence after being found guilty of lying about gang rape in Cyprus	A British woman is given a four month suspended sentence after being found guilty of lying about gang rape in Cyprus	1	-4	 A[0] British[0] woman[0] is[0] given[0] a[0] four[0] month[0] suspended[0] sentence[0] after[0] being[0] found[0] guilty[-3] of[0] lying[-3] about[0] gang[0] rape[-3] in[0] Cyprus[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
A Chinese trade delegation is planning to travel to Washington on Jan one three for the signing of the US China Phase one trade deal the South China Morning Post reported on Sunday citing a source briefed on the matter	A Chinese trade delegation is planning to travel to Washington on Jan one three for the signing of the US China Phase one trade deal the South China Morning Post reported on Sunday citing a source briefed on the matter	1	-2	 A[0] Chinese[0] trade[0] delegation[0] is[0] planning[0] to[0] travel[0] to[0] Washington[0] on[0] Jan[0] one[0] three[0] for[0] the[0] signing[0] of[0] the[0] US[0] China[0] Phase[0] one[0] trade[0] deal[0] the[0] South[0] China[0] Morning[0] Post[0] reported[0] on[0] Sunday[0] citing[0] a[0] source[-1] briefed[0] on[0] the[0] matter[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
A climate change protester claims companies operating oil and gas pipelines are not only hurting the environment but indigenous people	A climate change protester claims companies operating oil and gas pipelines are not only hurting the environment but indigenous people	3	-2	 A[0] climate[0] change[0] protester[-1] claims[0] companies[0] operating[0] oil[0] and[0] gas[0] pipelines[0] are[0] not[0] only[0] hurting[-2][NegatedDueToPreviousWord] the[0] environment[0] but[0] indigenous[0] people[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
A CNN reporter sounded the alarms on Sunday over the popularity of a piece published by a conservative satirical site	A CN reporter sounded the alarms on Sunday over the popularity of a piece published by a conservative satirical site	2	-3	 A[0] CNN/CN[0] reporter[0] sounded[0] the[0] alarms[-2] on[0] Sunday[0] over[0] the[0] popularity[1] of[0] a piece[0] published[0] by[0] a[0] conservative[0] satirical[0] site[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
A collection of at least seven five rare performances by the Rolling Stone s briefly appeared on a brand new YouTube account on New Years Eve then vanished just a day later Copyright lawyers have a theory ABKCO Music Records which administers the rights to the 	A collection of at least seven five rare performances by the Rolling Stone s briefly appeared on a brand new YouTube account on New Years Eve then vanished just a day later Copyright lawyers have a theory ABKCO Music Records which administers the rights to the	1	-2	 A[0] collection[0] of[0] at[0] least[0] seven[0] five[0] rare[0] performances[0] by[0] the[0] Rolling[0] Stone[0] s[0] briefly[0] appeared[0] on[0] a[0] brand[0] new[0] YouTube[0] account[0] on[0] New[0] Years[0] Eve[0] then[0] vanished[-1] just[0] a[0] day[0] later[0] Copyright[0] lawyers[0] have[0] a[0] theory[0] ABKCO Music[0] Records[0] which[0] administers[0] the[0] rights[0] to[0] the[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
A columnist writing at AZCentralcom suggests it was terrifying that parishioner Rs were armed at the church in White Settlement Texas	A columnist writing at AZCentralcom suggests it was terrifying that parishioner Rs were armed at the church in White Settlement Texas	1	-4	 A[0] columnist[0] writing[0] at[0] AZCentralcom[0] suggests[0] it[0] was[0] terrifying[-3] that[0] parishioner[0] Rs[0] were[0] armed[0] at[0] the[0] church[0] in[0] White[0] Settlement[0] Texas[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
A company called Aira is working on technology thatll let people wirelessly charge their gadgets regardless of where they place them on the mat Airas first customer is Nomad which plans to release its Base Station Pro this year	A company called Aira is working on technology thatll let people wirelessly charge their gadgets regardless of where they place them on the mat Airas first customer is Nomad which plans to release its Base Station Pro this year	1	-2	 A[0] company[0] called[0] Aira[0] is[0] working[0] on[0] technology[0] thatll[0] let[0] people[0] wirelessly[0] charge[-1] their[0] gadgets[0] regardless[-1] of[0] where[0] they[0] place[0] them[0] on[0] the[0] mat[0] Airas[0] first[0] customer[0] is[0] Nomad[0] which[0] plans[0] to[0] release[0] its[0] Base[0] Station[0] Pro[0] this[0] year[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
A condolence ceremony is being held as the country remembers Sultan Qaboos who died aged seven nine 	A condolence ceremony is being held as the country remembers Sultan Qaboos who died aged seven nine	1	-3	 A[0] condolence[-2] ceremony[0] is[0] being[0] held[0] as[0] the[0] country[0] remembers[0] Sultan[0] Qaboos[0] who[0] died[0] aged[0] seven[0] nine[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
A controlling stake in the lingerie firm Victorias Secret will be sold to a US private equity firm On Thursday the fashion retailer L Brands announced it will sell five five percent of the company to Sycamore Partners for five two five m  four zero eight m Boss and executive chairman of Victorias Secret Leslie Wexner will step down as part of the deal He said that separating Victorias Secret into a private company would restore the business growth The lingerie company accounted for nearly half of the companies one three two bn revenue in two zero one nine But it has seen sales decline over the last year L Brands valued the firm at one one bn and will retain a four five percent stake After selling several businesses L Brands said it will concentrate on the beauty chain it owns Bath Body Works Mr Wexner has been appointed chairman emeritus and will remain a member of the board	A controlling stake in the lingerie firm Victorias Secret will be sold to a US private equity firm On Thursday the fashion retailer L Brands announced it will sell five five percent of the company to Sycamore Partners for five two five m  four zero eight m Boss and executive chairman of Victorias Secret Leslie Wexner will step down as part of the deal He said that separating Victorias Secret into a private company would restore the business growth The lingerie company accounted for nearly half of the companies one three two bn revenue in two zero one nine But it has seen sales decline over the last year L Brands valued the firm at one one bn and will retain a four five percent stake After selling several businesses L Brands said it will concentrate on the beauty chain it owns Bath Body Works Mr Wexner has been appointed chairman emeritus and will remain a member of the board	1	-1	 A[0] controlling[0] stake[0] in[0] the[0] lingerie[0] firm[0] Victorias[0] Secret[0] will[0] be[0] sold[0] to[0] a[0] US[0] private[0] equity[0] firm[0] On[0] Thursday[0] the[0] fashion[0] retailer[0] L[0] Brands[0] announced[0] it[0] will[0] sell[0] five[0] five[0] percent[0] of[0] the[0] company[0] to[0] Sycamore[0] Partners[0] for[0] five[0] two[0] five[0] m[0] four[0] zero[0] eight[0] m[0] Boss[0] and[0] executive[0] chairman[0] of[0] Victorias[0] Secret[0] Leslie[0] Wexner[0] will[0] step[0] down[0] as[0] part[0] of[0] the[0] deal[0] He[0] said[0] that[0] separating[0] Victorias[0] Secret[0] into[0] a[0] private[0] company[0] would[0] restore[0] the[0] business[0] growth[0] The[0] lingerie[0] company[0] accounted[0] for[0] nearly[0] half[0] of[0] the[0] companies[0] one[0] three[0] two[0] bn[0] revenue[0] in[0] two[0] zero[0] one[0] nine[0] But[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
